Atlanten	اقیانوس اطلس
höter	زمان حال از:، با دست تهدید کردن
hött	ماضی نقلی و بعید از:، با دست تهدید کردن
hötte	زمان گذشته از:، با دست تهدید کردن
hötter	زمان حال از:، با دست تهدید کردن
hövding	رئیس قبیله، کدخدا
hövlig	اجتماعی، متمدّن، با تربیت
hövlighet	ادب و نزاکت
hövligt	اجتماعی، متمدّن، با تربیت
i	ی، در، تو- لای، توی- داخل، درون- روی- به - با- از، زیر- بر- توسط
i Sveriges sydligaste delar|sydlig	در جنوبی ترین قسمتهای سوئد
i alla delar|del	بهر جهت، از هر لحاظ
i alla fall|fall	در هر صورت، همیشه
i alla synnerhet|synnerhet	بویژه، مخصوصا
i bakgrunden|bakgrund	در محل دور، از دور
i bakvänd ordning|bakvänd	به ترتیب معکوس
i bunden stil|stil	به سبک شاعرانه
i början på säsongen|säsong	در آغاز فصل
i dagligt bruk|dagligt	مصرف روزانه
i dagligt tal|dagligt	در صحبت روزانه
i drömmarnas land|dröm	در عالم خیال
i dåtidens samhälle|dåtiden	اجتماع آنزمان
i ett avlägset fjärran|fjärran	در فاصله ای دور، در مملکت غریب
i fall att jag skulle glömma bort|fall	در صورتیکه من فراموش کردم
i familjens sköte|sköte	در میان خانواده
i fjol|fjol	در پارسال
i fjol sommar|fjol	تابستان پارسال
i fjor|fjor	سال گذشته (رایج در جنوب سوئد)
i fjärran land|fjärran	خیلی دور (کشور)
i flyende fläng|flyende|fläng	با عجله زیاد
i formellt avseende|formell|formellt	با رعایت تشریفات
i fullt språng|språng	بسرعت هر چه تمامتر
i gott skick|skick	در وضعیت عالی
i helg och söcken|helg|söcken	هم روز های عادی و هم تعطیلات آخر هفته
i jämbredd med|jämbredd	در کنار، پهلو به پهلو، هم پا با، هم اندازه با
i korta eller stora drag|drag	بطور خلاصه
i morse	امروز صبح
i sak|sak	در اصل، بطور کلی
i samråd med|samråd	با مشورت
i sinom tid|sinom	در وقت مناسب، بموقع، وقتش
i sittande ställning|ställning	بحالت نشسته
i skift|skift	نوبتی، شیفتی
i skrivande stund|skrivande	همین حالا
i skumrasket|skumrask	مبهم، بطور مرموز
i slump|slump	یکجا، بطور عمده ای
i smyg|smyg	بطور دزدکی، در خفا
i solen|sol	زیر آفتاب
i somras|sommar	در تابستان گذشته
i språkligt avseende|språklig|språkligt	از نقطه نظر زبانی
i stil med|stil	 همانند، شبیه به
i strid mot reglerna|strid	برخلاف مقررات
i stället|ställe	بجای
i stället för|ställe	بجای اینکه
i stånd till att|stånd	لایق، شایسته
i sänder|sänder	1. گهگاه، 2. یکی بعد از دیگری
i särklass|särklass	بخصوص، ویژه
i så fall|fall|så	در اینصورت
i söndags|söndag	در یکشنبه گذشته
i utsträckt bemärkelse|utsträckt	به معنای وسیع
i varje fall|fall	در هر شرایط
i vilket syfte|syfte	به چه منظوری؟
i vissa fall|fall	در بعضی موارد
i övermorgon	پس فردا
iaktta|iakttagit|iakttar|iakttog	1. توجه کردن، ملاحظه کردن، نظارت کردن، 2. رعایت کردن، مراعات کردن
iakttaga	1. توجه کردن، ملاحظه کردن، نظارت کردن، 2. رعایت کردن، مراعات کردن
iakttaga ordningen|iaktta|iakttaga	ناظم بودن
iakttaga tystnad|iaktta|iakttaga	سکوت را رعایت کنید
iakttagande	1. توجه، ملاحظه، 2. مراعات، رعایت، 1. بارعایت، 2. درنظر گیرنده، رعایت کننده
iakttagandet	1. توجه، ملاحظه، 2. مراعات، رعایت
iakttagare|iakttagaren|iakttagarn	شخص مرقب یا رعایت کننده
iakttagarna	اشخاص مرقب یا رعایت کننده
iakttagbar|iakttagbart	قابل مراعات
iakttagelse|iakttagelsen	رعایت، توجه
iakttagelser	رعایت ها، توجهات
iakttager	زمان حال از:، توجه کردن، ملاحظه کردن، نظارت کردن، رعایت کردن، مراعات کردن
iakttagit	ماضی نقلی و بعید از:، توجه کردن، ملاحظه کردن، نظارت کردن، رعایت کردن، مراعات کردن
iakttar	زمان حال از:، توجه کردن، ملاحظه کردن، نظارت کردن، رعایت کردن، مراعات کردن
iakttog	زمان گذشته از:، توجه کردن، ملاحظه کردن، نظارت کردن، رعایت کردن، مراعات کردن
iber|iberen	اهل شبه جزیره ایبری
iberer	اهالی شبه جزیره ایبری
iberisk|iberiskt	ایبری، مربوط به ایبری
ibis|ibisen	لک لک گرمسیری
ibisar	لک لکهای گرمسیری
ibland	1. بین، مابین، 2. گاهگاهی، بعضی اوقات
icke	نه، غیر (حرف نفی)
icke kunna sämjas|sämjas	به وحدت نرسیدن
icke ståndsmässigt giftemål|ståndsmässig|ståndsmässigt	وصلت ناجور
ickeledare	غیر هادی، غیر رسانا
ickeofficiell|ickeofficiellt	غیر رسمی
ickerökare	غیر سیگاری
ickevara|ickevarat	نیستی، وجود
id|iden	نوعی ماهی آب شیرین
idag	امروز
idas även ids iddes itts|idas|iddes|ids|itts	قادر بودن، انرژی کافی داشتن
ide|idet	محل خواب زمستانی خرس و گورکن
ideal	ایده آل، کمال مطلوب، کامل، مطلوب، ایده آلی، مبنی بر تصور و خیال
idealen	ایده آل ها، کمالات مطلوب
idealet	ایده آل، کمال مطلوب
idealisera|idealiserade|idealiserar|idealiserat	به کمال مطلوب رساندن، صورت خیالی و شاعرانه دادن
idealisk|idealiskt	مطلوب، کامل
idealism|idealismen	معنویت، فلسفه فکری، خیال اندیشی، اندیشه گرایی، اعتقاد به تقدم اندیشه بر ماده
idealist|idealisten	شخص اندیشه گرا یا معتقد به تقدم اندیشه بر ماده
idealister	اشخاص اندیشه گرا یا معتقد به تقدم اندیشه بر ماده
idealistisk|idealistiskt	معنوی، فکری
idealitet|idealiteten	معنویت
idealkvinna|idealkvinnan	زن ایده ال
idealkvinnor	زنان ایده ال
idealt	کامل، مطلوب، ایده آلی، مبنی بر تصور و خیال
ideell|ideellt	معنوی، مبنی بر تصور و خیال
ideell förening|ideell|ideellt	انجمن فرهنگی یا مذهبیو غیره که هدفش مادی نیست، انجمن غیر انتفاعی
idegran|idegranen	نوعی کاج
idegranar	نوعی از انواع کاجها
idel	محض، خالص، مطلق، فقط، صرفاً
idel diamanter|idel	الماس خالص
idel segrar|idel	پیروزیهای مطلق
idel världsstjärnor|idel	فقط ستاره های جهانی
idelig|ideligt	بدون وقفه، پیوسته، مداوم
ideligen	دائماً، بطور مداوم
iden	محلهای خواب زمستانی خرس و گورکن
identifiera|identifierade|identifierar|identifierat	تشخیص هویت دادن، شناسایی کردن، اصلیت چیزی را شناختن
identifierade	زمان گذشته از:، تشخیص هویت دادن، شناسایی کردن، اصلیت چیزی را شناختن
identifierar	زمان حال از:، تشخیص هویت دادن، شناسایی کردن، اصلیت چیزی را شناختن
identifierat	ماضی نقلی و بعید از:، تشخیص هویت دادن، شناسایی کردن، اصلیت چیزی را شناختن
identifierbar|identifierbart	قابل تشخیص
identifiering|identifieringen	تعیین هویت
identifieringar	تعیین هویت (جمع)
identifikation|identifikationen	شناسائی
identifikationer	شناسائی ها
identisk|identiskt	عیناً، یکسان
identitet|identiteten	هویت، شخصیت، اصلیت، شناسایی
identiteter	هویت ها، شخصیتها، اصلیتها، شناسائی ها
identitetsbricka|identitetsbrickan	پلاک تشخیص هویت
identitetsbrickor	پلاکهای تشخیص هویت
identitetskort|identitetskortet	کارت شناسائی، برگه هویت
identitetskorten	کارتهای شناسائی، برگه های هویت
ideogram|ideogrammet	، ایدئوگرام: ، تجسُّم و نمایش عقاید و افکار و اجسام با تصویر ـ مجسم سازی
ideogrammen	جمع از:، ایدئوگرام: ، تجسُّم و نمایش عقاید و افکار و اجسام با تصویر ـ مجسم سازی
ideolog|ideologen	متخصص علوم نظری
ideologer	متخصصین علوم نظری
ideologi|ideologien|ideologin	، ایدئولوژی:،  مبحث افکار و آرزوهای باطنی ـ علم تصورات و اندیشه ها
ideologier	، ایدئولوژی ها:،  مباحث افکار و آرزوهای باطنی ـ علوم تصورات و اندیشه ها
ideologisk|ideologiskt	ایدئولوژیک
ider	نوعی ماهی آب شیرین
idiom|idiomet	شیوه زبان، اصطلاح (ویژه زبان)
idiomatisk|idiomatiskt	اصطلاحی، مصطلح
idiomen	شیوه های زبان، اصطلاحات (ویژه زبان)
idiosynkrasi|idiosynkrasien|idiosynkrasin	بی میلی، بیزاری
idiosynkrasier	بی میلی ها، بیزاری ها
idiot	آدم سفیه و احمق
idiotisk	احمق، ابله
idka	انجام دادن، اجرا کردن، پیروی کردن، دنبال کردن، خود را مشغول کردن به
idkade	زمان گذشته از:، انجام دادن، اجرا کردن، پیروی کردن، دنبال کردن، خود را مشغول کردن به
idkar	زمان حال از:، انجام دادن، اجرا کردن، پیروی کردن، دنبال کردن، خود را مشغول کردن به
idkat	ماضی نقلی و بعید از:، انجام دادن، اجرا کردن، پیروی کردن، دنبال کردن، خود را مشغول کردن به
idol	بت، صنم، خدای دروغی
idrott	ورزش
idrotta	ورزش کردن
idrottade	زمان گذشته از:، ورزش کردن
idrottar	زمان حال از:، ورزش کردن
idrottat	ماضی نقلی و بعید از:، ورزش کردن
idrottsman	ورزشکار
idrottsplats	ورزشگاه
idyll	شرح منظره ای از زندگی روستایی - چکامه کوتاه، محیط (جو روستایی)
idyllisk	روح افزا
idé|idéen|idén	طرز فکر، تصور، فکر
idéer	طرز فکرها، تصورات، افکار
idéernas värld|idé	دنیای خیالات
idéfattig|idéfattigt	بی ایده، بی ابتکار
idérik|idérikt	خالق، مبتکر
ifall	در صورتی که، اگر، بفرض اینکه، چنانچه
ifrågasatt	ماضی نقلی و بعید از افعال:، مورد سؤال و بحث قرار دادن
ifrågasatte	زمان گذشته از:، مورد سؤال و بحث قرار دادن
ifrågasätta	مورد سؤال و بحث قرار دادن
ifrågasätter	زمان حال از:، مورد سؤال و بحث قرار دادن
ifrån	از کنار - از طرف، دور از، خارج از
igelkott	جوجه تیغی، خارپشت
igen	دوباره، باز، یکبار دیگر، پس، بطور بسته یا محبوس
ignorera	بی اساس دانستن، چشم پوشیدن، نادیده گرفتن
ignorera|ignorerade|ignorerar|ignorerat	بی اساس دانستن، چشم پوشیدن، نادیده گرفتن
igår	دیروز
ihjäl	بحد مرگ
ihop	با یکدیگر، با هم، با یکدیگر، مشترکاً
ihärdig	مُصِر، پشتکاردار، پیگیر
ihärdighet	پشتکار، مداومت
ihålig	گود شده، تورفته، میان تهی، پوچ
ihållande	ممتد، پیوسته، ادامه دار، مداوم
ikosaeder	بیست وجهی
ikväll	امشب
il	تند باد، باد، بوران، با سرعت، سریع
ilgods	باری که توسط راه آهن باید سریع تحویل شود
illa	بطور بد، بد، بدجوری
illamående	بدحال، مریض، بدحالی، مریضی
illasinnad|illasinnat	تند مزاج، بدنهاد
illegal	نامشروع، حرام
illusion	فریب، گول، خیال باطل، فکر واهی، پندار
illustration	نوضیح، تفسیر
illustrera	با شکل و غیره توضیح دادن، با عکس آراستن، نشان دادن
illustrerade	زمان گذشته از:، با شکل و غیره توضیح دادن، با عکس آراستن، نشان دادن
illustrerar	زمان حال از:، با شکل و غیره توضیح دادن، با عکس آراستن، نشان دادن
illustrerat	ماضی نقلی و بعید از:، با شکل و غیره توضیح دادن، با عکس آراستن، نشان دادن
illvilja	بدخواهی، کینه، سوء نیت، شرارت، لجاجت
illviljan	بدخواهی، کینه، سوء نیت، شرارت، لجاجت
ilska	خشم، غضب
ilsken	خشمگین، عصبانی، وحشی، عصبانی، نافذ
imitation	تقلیدی، پیروی
imitera	تقلید کردن، پیروی کردن، تقلید کسی در آوردن
imiterade	زمان گذشته از:، تقلید کردن، پیروی کردن، تقلید کسی در آوردن
imiterar	زمان حال از:، تقلید کردن، پیروی کردن، تقلید کسی در آوردن
imiterat	ماضی نقلی و بعید از:، تقلید کردن، پیروی کردن، تقلید کسی در آوردن
imma	مه، بخار، مه گرفتن، تار شدن
immade	زمان گذشته از:، مه گرفتن، تار شدن
imman	مه، بخار
immar	زمان حال از:، مه گرفتن، تار شدن
immat	ماضی نقلی و بعید از:، مه گرفتن، تار شدن
immig	مه آلوده، تار
immigrant	شخص مهاجر یا کوچ نشین
immigration	مهاجرت، کوچ
immigrera	مهاجرت کردن (به کشور دیگر)، میهن گزیدن، کوچ کردن
immigrerade	زمان گذشته از:، مهاجرت کردن (به کشور دیگر)، میهن گزیدن، کوچ کردن
immigrerar	زمان حال از:، مهاجرت کردن (به کشور دیگر)، میهن گزیدن، کوچ کردن
immigrerat	ماضی نقلی و بعید از:، مهاجرت کردن (به کشور دیگر)، میهن گزیدن، کوچ کردن
immun	مصون، ایمن، فاقد حساسیت به بیماری
immunitet	مقاومت بدن در مقابل عوامل، مصونیّت
imorgon	فردا
imperativ	حالت امری، حکم، فرمان، آمرانه، مقتدرانه
imperfekt	حالت زمان گذشته (ماضی)، حالت ماضی
imperialism	امپریالیسم، سیاست استعمارطلبی، بالاترین مرحله سرمایه داری
imperialist	امپریالیست
imperialistisk	امپریالیستی
imperium	قدرت مطلقه، حق حاکمیت مطلق، پادشاهی
imponera	تحت تأثیر قرار دادن، اثر گذاردن
imponerade	زمان گذشته از:، تحت تأثیر قرار دادن، اثر گذاردن
imponerande	مؤثر، برانگیزنده
imponerar	زمان حال از:، تحت تأثیر قرار دادن، اثر گذاردن
imponerat	ماضی نقلی و بعید از:، تحت تأثیر قرار دادن، اثر گذاردن
impopulär	غیر مشهور، غیر محبوب
import	کالای رسیده یا وارده
importera	وارد کردن، به کشور آوردن
importerade	زمان گذشته از:، وارد کردن، به کشور آوردن
importerar	زمان حال از:، وارد کردن، به کشور آوردن
importerat	ماضی نقلی و بعید از:، وارد کردن، به کشور آوردن
importfirma	شرکت وارداتی
impotens	سستی کمر، ناتوانی جنسی (بخصوص مردان در جماع)
impregnera	غیر قابل رسوخ کردن
impregnerade	زمان گذشته از:، غیر قابل رسوخ کردن
impregnerar	زمان حال از:، غیر قابل رسوخ کردن
impregnerat	ماضی نقلی و بعید از:، غیر قابل رسوخ کردن
improduktiv	بی حاصل، بی ثمر
improvisera	بدون مقدمه کاری انجام دادن، بی اندیشه ساختن یا سرودن
improviserade	زمان گذشته از:، بدون مقدمه کاری انجام دادن، بی اندیشه ساختن یا سرودن
improviserar	زمان حال از:، بدون مقدمه کاری انجام دادن، بی اندیشه ساختن یا سرودن
improviserat	ماضی نقلی و بعید از:، بدون مقدمه کاری انجام دادن، بی اندیشه ساختن یا سرودن
impuls	قوه محرک آنی، انگیزه ناگهانی، جنبش، تکان
impulsiv	صفت کسی که از روی انگیزه آنی و بدون فکر قبلی عمل می کند.
in	تو، درون، در، اندر، توی، داخل
in duplo|duplo	در دو نسخه
in te en särställning|särställning	محل مخصوصی را اشغال کردن
inackordering	شاگرد شبانه روزی
inackorderingstillägg	یکنوع کمک تحصیلی(به دانشجویانی داده میشود که در محل دیگری غیر از محل اقامت اصلی خود تحصیل میکنند)
inaktuell	غیر رایج
inalles	کلاً، جمعاً، رویهم رفته
inatt	امشب، دیشب
inbetalningskort	فرم (حساب) پرداختی
inbilla	تلقین کردن - وانمود نمودن، پنداشتن، فرض کردن
inbillade	زمان گذشته از:، تلقین کردن - وانمود نمودن، پنداشتن، فرض کردن
inbillar	زمان حال از:، تلقین کردن - وانمود نمودن، پنداشتن، فرض کردن
inbillat	ماضی نقلی و بعید از:، تلقین کردن - وانمود نمودن، پنداشتن، فرض کردن
inbillning	تصور، تخیل
inbillningssjuk	مبتلا به بیماری که توأم با تخیلات است
inbjuda	دعوت کردن، فریفتن، اغوا کردن
inbjudan	دعوت
inbjuder	زمان حال از:، دعوت کردن، فریفتن، اغوا کردن
inbjudit	ماضی نقلی و بعید از:، دعوت کردن، فریفتن، اغوا کردن
inbjöd	زمان گذشته از:، دعوت کردن، فریفتن، اغوا کردن
inblick	بصیرت، بینش، درون بینی، دید کلی
inbringande	سودآور
inbrott	دستیر به خانه، دزدی
inbrottstjuv	دزد خانه
inbunden	دوخته شده، غیر اجتماعی، ساکت، بی حرف
inbyggd	پوشیده، محفوظ، نصب شده در
inbördes	دوسره، دو جانبه - بین الطرفین، فی مابین‌، بین
inbördeskrig	جنگ داخلی
incident	حادثه کوچک
incitament	انگیزش، تحریک
indela	تقسیم کردن، به قسمت جزء تقسیم کردن، کلاس بندی یا طبقه بندی کردن
indelade	زمان گذشته از:، تقسیم کردن، به قسمت جزء تقسیم کردن، کلاس بندی یا طبقه بندی کردن
indelar	زمان حال از:، تقسیم کردن، به قسمت جزء تقسیم کردن، کلاس بندی یا طبقه بندی کردن
indelat	ماضی نقلی و بعید از:، تقسیم کردن، به قسمت جزء تقسیم کردن، کلاس بندی یا طبقه بندی کردن
index	فهرست راهنما، راهنمای موضوعات یا مطالب، شاخص
indian	سرخپوست
indicera	نشان دادن، اشاره کردن - روشن کردن
indicerade	زمان گذشته از:، نشان دادن، اشاره کردن - روشن کردن
indicerar	زمان حال از:، نشان دادن، اشاره کردن - روشن کردن
indicerat	ماضی نقلی و بعید از:، نشان دادن، اشاره کردن - روشن کردن
indicium	علامت یا نشانی که حاکی از چیزی باشد.
indier	اهل هند
indignerad	اوقات تلخ، متغیر، رنجیده
indikation	نشان، اشاره، علامت یا نمودار علت بیماریزای
indikera	نشان دادن، اشاره کردن - روشن کردن
indikerade	زمان گذشته از:، نشان دادن، اشاره کردن - روشن کردن
indikerar	زمان حال از:، نشان دادن، اشاره کردن - روشن کردن
indikerat	ماضی نقلی و بعید از:، نشان دادن، اشاره کردن - روشن کردن
indirekt	غیر مستقیم، بطور غیر مستقیم
indisk	هندی، مربوط به هند
individ	شخصیت، وجود مستقل، شخص، فرد، نفر، موجود آلی تک
individuell	انفرادی، تکی، فردی، اختصاصی، ویژه
indoktrinering	تلقین
indrivning	وصول، دریافت
industri	صنعت، پیشه و هنر
industriarbetare	کارگر صنعتی
industriell	صنعتی
ineffektiv	بی اثر، بی نتیجه
inemot	مقارن، نزدیک به، تقریباً
infall	تصور، گمان، ایده، فکر، خیال، حمله، هجوم
infallsvinkel|infallsvinkeln|infallsvinklar	زاویه تلاقی، دیدگاه، زاویه تابش
infann	زمان گذشته از:، ظاهر شدن، خود را نشان دادن، آمدن، شرکت کردن
infanteri	اشخاص پیاده، پیاده نظام
infarkt	سکته
infart	راه ورود، ورود
infekterad	عفونت شده
infektion	سرایت مرض، عفونت
infiltrera	تراوش کردن، نفوذ کردن، کم کم راه یافتن
infiltrerade	زمان گذشته از:، تراوش کردن، نفوذ کردن، کم کم راه یافتن
infiltrerar	زمان حال از:، تراوش کردن، نفوذ کردن، کم کم راه یافتن
infiltrerat	ماضی نقلی و بعید از:، تراوش کردن، نفوذ کردن، کم کم راه یافتن
infinitiv	مصدر
infinitivmärke	علامت مصدر
infinna	ظاهر شدن، خود را نشان دادن، آمدن، شرکت کردن
infinner	زمان حال از:، ظاهر شدن، خود را نشان دادن، آمدن، شرکت کردن
inflammation	آماس، ورم، التهاب
inflammera	آماس کردن، ملتهب کردن
inflammerade	زمان گذشته از:، آماس کردن، ملتهب کردن
inflammerar	زمان حال از:، آماس کردن، ملتهب کردن
inflammerat	ماضی نقلی و بعید از:، آماس کردن، ملتهب کردن
inflation	تورم: ترقی شدید و نسبتاً آنی سطح عمومی قیمت
influens|influensen|influenser	نفوذ، تاثیر، القاء
influensa	آنفلوآنزا
influera	نفوذ کردن بر، تأثیر کردن بر
influerade	زمان گذشته از:، نفوذ کردن بر، تأثیر کردن بر
influerar	زمان حال از:، نفوذ کردن بر، تأثیر کردن بر
influerat	ماضی نقلی و بعید از:، نفوذ کردن بر، تأثیر کردن بر
inflytande	نفوذ، توانایی، قدرت، تأثیر، اثر
inflytelserik	با نفوذ، متنفذ
inflyttning	ورود به کشوری، نقل مکان
information	اطلاع، آگاهی
informationsbyrå	دفتر اطّلاعات
informator|informatorer|informatorn	معلم خانگی یا خصوصی
informell	غیر رسمی، بی تشریفات
informera	آگاهی دادن، آگاه کردن، روشن کردن
informerade	زمان گذشته از:، آگاهی دادن، آگاه کردن، روشن کردن
informerar	زمان حال از:، آگاهی دادن، آگاه کردن، روشن کردن
informerat	ماضی نقلی و بعید از:، آگاهی دادن، آگاه کردن، روشن کردن
infria	از گرو درآوردن، باز خریدن، برآورد کردن
infriade	زمان گذشته از:، از گرو درآوردن، باز خریدن، برآورد کردن
infriar	زمان حال از:، از گرو درآوردن، باز خریدن، برآورد کردن
infriat	ماضی نقلی و بعید از:، از گرو درآوردن، باز خریدن، برآورد کردن
infunnit	ماضی نقلی و بعید از:، ظاهر شدن، خود را نشان دادن، آمدن، شرکت کردن
infödd	بومی، محلی
inföding	شخص بومی
inför	قبل از، پیش از، در حضورِ، در مقابلِ، در شرفِ، در نزدیکیِ، زمان حال از:، داخل کردن، ‌اجازه دخول دادن، نشان دادن، معرفی کردن، معمول کردن، مرسوم کردن، برپا کردن، برانداختن
införa	داخل کردن، ‌اجازه دخول دادن، نشان دادن، معرفی کردن، معمول کردن، مرسوم کردن، برپا کردن، برانداختن
införande	احداث، داخل سازی، ورود
införde	زمان گذشته از:، داخل کردن، ‌اجازه دخول دادن، نشان دادن، معرفی کردن، معمول کردن، مرسوم کردن، برپا کردن، برانداختن
införsel	وصول، دریافت، ورود (در جمع: واردات)
införselavgift	هزینه ورود
infört	ماضی نقلی و بعید از:، داخل کردن، ‌اجازه دخول دادن، نشان دادن، معرفی کردن، معمول کردن، مرسوم کردن، برپا کردن، برانداختن
inga	هیچ کس، هیچ یک، هیچکدام، هیچ
ingalunda	بهیچوجه، بهیچ عنوان
ingav	زمان گذشته از:، الهام بخشیدن، ‌روح دادن، رساندن، برانگیختن، تحریک کردن، پیشنهاد کردن
inge	الهام بخشیدن، ‌روح دادن، رساندن، برانگیختن، تحریک کردن، پیشنهاد کردن
ingefära	زنجبیل یا رنجفیل
ingen	هیچ کس، هیچ یک، هیچکدام، هیچ
ingen slipper härifrån|slippa	کسی اجازه ندارد اینجا را ترک کند
ingen synbar förändring har inträffat|synbar	 ظاهرا چیزی تغییر داده نشده است
ingendera	هیچیک، هیچکدام
ingenjör	مهندس
ingenstans	هیچ جا
ingenting	هیچ چیز، هیچ
inger	زمان حال از:، الهام بخشیدن، ‌روح دادن، رساندن، برانگیختن، تحریک کردن، پیشنهاد کردن
ingett	ماضی نقلی و بعید از:، الهام بخشیدن، ‌روح دادن، رساندن، برانگیختن، تحریک کردن، پیشنهاد کردن
ingick	زمان گذشته از:، وارد شدن، رسیدن، دریافت شدن، بدست رسیدن، شامل ... بودن، تعلق داشتن به، نتیجه گرفتن، استناج کردن
ingiva	الهام بخشیدن، ‌روح دادن، رساندن، برانگیختن، تحریک کردن، پیشنهاد کردن
ingiver	زمان حال از:، الهام بخشیدن، ‌روح دادن، رساندن، برانگیختن، تحریک کردن، پیشنهاد کردن
ingivit	ماضی نقلی و بعید از:، الهام بخشیدن، ‌روح دادن، رساندن، برانگیختن، تحریک کردن، پیشنهاد کردن
ingrediens|ingrediensen|ingredienser	جزء، جزء ترکیبی
ingrep	زمان گذشته از:، دستگیر کردن، مداخله کردن، پا به میان گذارندن، مانع شدن، مغلوب کردن، شکست دادن
ingrepp	عمل جراحی، مداخله کردن، دخالت- تجاوز
ingripa	دستگیر کردن، مداخله کردن، پا به میان گذارندن، مانع شدن، مغلوب کردن، شکست دادن
ingripande	مداخله، دخالت
ingriper	زمان حال از:، دستگیر کردن، مداخله کردن، پا به میان گذارندن، مانع شدن، مغلوب کردن، شکست دادن
ingripit	ماضی نقلی و بعید از:، دستگیر کردن، مداخله کردن، پا به میان گذارندن، مانع شدن، مغلوب کردن، شکست دادن
ingå	وارد شدن، رسیدن، دریافت شدن، بدست رسیدن، شامل ... بودن، تعلق داشتن به، نتیجه گرفتن، استناج کردن
ingående	ورود، رسید، عازم، در راه، وارد شونده، دقیق، ‌اساسی - عمیق، کامل
ingång	ورودی، راه ورود، شروع، آغاز، دریافت، وصول، رسید
ingår	زمان حال از:، وارد شدن، رسیدن، دریافت شدن، بدست رسیدن، شامل ... بودن، تعلق داشتن به، نتیجه گرفتن، استناج کردن
ingått	ماضی نقلی و بعید از:، وارد شدن، رسیدن، دریافت شدن، بدست رسیدن، شامل ... بودن، تعلق داشتن به، نتیجه گرفتن، استناج کردن
inhemsk	اصیل، بومی، وطنی، کشوری، داخلی
inhägna	محصور کردن، احاطه کردن، حصار یا چینه کشیدن
inhägnad	محوطه
inhägnade	زمان گذشته از:، محصور کردن، احاطه کردن، حصار یا چینه کشیدن
inhägnar	زمان حال از:، محصور کردن، احاطه کردن، حصار یا چینه کشیدن
inhägnat	ماضی نقلی و بعید از:، محصور کردن، احاطه کردن، حصار یا چینه کشیدن
inhämta	آموختن، یاد گرفتن، بدست آوردن، کسب کردن، به داخل آوردن
inhämtade	زمان گذشته از:، آموختن، یاد گرفتن، بدست آوردن، کسب کردن، به داخل آوردن
inhämtar	زمان حال از:، آموختن، یاد گرفتن، بدست آوردن، کسب کردن، به داخل آوردن
inhämtat	ماضی نقلی و بعید از:، آموختن، یاد گرفتن، بدست آوردن، کسب کردن، به داخل آوردن
inifrån	از داخل، از تو
initial	حرف اول (کلمه)، آغازی، بدوی
initiativ	نخستین گام، ابتکار، ایده جدید، پیشقدمی
initiativförmåga	مهم، با ابتکار، نیروی ابتکار
initierad	با اطلاع، آشنا
injektion	تزریق
injektionspruta	آمپول، سرنگ
inkallelse	احضاریه، اخطار برای فعالیتهای نظامی
inkallelseorder	دستور احضار به نیروی نظام
inkarnera	مجسم کردن، صورت خارجی دادن
inkassera	پول وصول کردن، تحصیلداری کردن
inkasserade	زمان گذشته از:، پول وصول کردن، تحصیلداری کردن
inkasserar	زمان حال از:، پول وصول کردن، تحصیلداری کردن
inkasserat	ماضی نقلی و بعید از:، پول وصول کردن، تحصیلداری کردن
inkast	پرتاب، سوراخ، شکاف
inkludera	گنجاندن، شمردن، به حساب آوردن، داخل کردن
inkluderade	زمان گذشته از:، گنجاندن، شمردن، به حساب آوردن، داخل کردن
inkluderar	زمان حال از:، گنجاندن، شمردن، به حساب آوردن، داخل کردن
inkluderat	ماضی نقلی و بعید از:، گنجاندن، شمردن، به حساب آوردن، داخل کردن
inklusive	شامل، جزء
inkompetent	نالایق، فاقد صلاحیت
inkomst	درآمد، عایدی
inkomsttagare	حقوق بگیر
inkonsekvent	متناقص، متضاد
inkorporera	یکی کردن، بهم پیوستن، یکسان کردن
inkorporerade	زمان گذشته از:، یکی کردن، بهم پیوستن، یکسان کردن
inkorporerar	زمان حال از:، یکی کردن، بهم پیوستن، یکسان کردن
inkorporerat	ماضی نقلی و بعید از:، یکی کردن، بهم پیوستن، یکسان کردن
inkräktare	شخص غاصب یا متجاوز
inkubationstid	دوره کمون: مدت زمانی است که از ورود عامل بیماریزا به بدن تا ایجاد نشانه های بیماری طول می کشد.
inkvartera	مسکن دادن، منزل دادن، اجازه سکونت دادن
inkvarterade	زمان گذشته از:، مسکن دادن، منزل دادن، اجازه سکونت دادن
inkvarterar	زمان حال از:، مسکن دادن، منزل دادن، اجازه سکونت دادن
inkvarterat	ماضی نقلی و بعید از:، مسکن دادن، منزل دادن، اجازه سکونت دادن
inköp	خرید
inlaga	دادخواست، عرضحال، خطابه
inland	درون کشور، در خشکی
inleda	شروع کردن، براه انداختن، گشودن، برپا کردن
inledde	زمان گذشته از:، شروع کردن، براه انداختن، گشودن، برپا کردن
inleder	زمان حال از:، شروع کردن، براه انداختن، گشودن، برپا کردن
inledning	آغاز، شروع، مقدمه، ابتدا، گشایش
inledningsvis	بطور مقدماتی، در ابتدا
inlemma	یکی کردن، بهم پیوستن
inlemmade	زمان گذشته از:، یکی کردن، بهم پیوستن
inlemmar	زمان حال از:، یکی کردن، بهم پیوستن
inlemmat	ماضی نقلی و بعید از:، یکی کردن، بهم پیوستن
inlett	ماضی نقلی و بعید از:، شروع کردن، براه انداختن، گشودن، برپا کردن
